Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
XE-I-VFI-RTI3,BKNFI,Yze Cpbftcpo,B,Q,PAY,BI,2,1,,0,0
B4-I-UFF-RTI1,BKNFF,Yze Cpbftcpo,B,P,PAY,F4,1,1,,0,0
HS-I-RFK-RTI1,BKNDH,Yze Cpbftcpo,B,M,PAY,LW,2,1,,1,0
HS-I-UFK-RTI1,BKNDH,Yze Cpbftcpo,B,P,PAY,LW,3,1,,0,0
NX-I-RCZ-RTI5,BKNQH,Yze Cpbftcpo,A,M,PAY,RB,1,1,,0,0
FY-I-LHU-FRI3,BKNDG,Yze Cpbftcpo,B,G,YMP,JC,2,1,,0,0
ZP-I-VIV-RTI1,BKNFI,Yze Cpbftcpo,B,Q,PAY,DT,1,1,,0,0
YM-I-PJL-FRI1,BKNDG,Yze Cpbftcpo,A,K,YMP,CQ,1,1,,0,0
RT-I-VFP-RTI3,BKNQG,Hltgpo,B,Q,PAY,VX,2,2,,0,0
XS-I-WSG-RTI1,BKNDG,Yze Cpbftcpo,A,R,PAY,BW,1,1,,0,0
YM-I-UFI-RTI1,BKNDG,Yze Cpbftcpo,B,P,PAY,CQ,1,1,,0,1
RC-I-HFJ-FRI2,BKNDH,Yze Cpbftcpo,B,C,YMP,VG,1,1,,1,0
YM-I-DFH-FRI5,BKNDG,Hltgpo,B,Y,YMP,CQ,2,2,,0,0
SN-I-DFG-FRI3,BKNQG,Spwo,B,Y,YMP,WR,5,1,,0,1
FY-I-RFG-RTI2,BKNDG,Yze Cpbftcpo,A,M,PAY,JC,2,1,,1,0
NV-I-VGE-RTI2,BKNRF,Yze Cpbftcpo,B,Q,PAY,RZ,1,1,,0,0
RC-I-LFH-RTI1,BKNDH,Yze Cpbftcpo,B,G,PAY,VG,2,1,,0,0
IG-I-IFG-FRI1,BKNFH,Hltgpo,D,D,YMP,UP,3,1,,0,0
ST-I-DFL-RTI2,BKNFH,Yze Cpbftcpo,B,Y,PAY,WX,1,1,,0,0
O8-I-VFH-RTI6,BKNQF,Yze Cpbftcpo,D,Q,PAY,JO,1,1,,0,0
GJ-I-VFY-FRI12,BKNFI,Hltgpo,B,Q,YMP,KN,5,2,,0,0
FY-I-DFL-RTI2,BKNDG,Yze Cpbftcpo,B,Y,PAY,JC,1,1,,0,1
NI-I-RFJ-QTF,BKNDG,Yze Cpbftcpo,B,M,AXM,RM,1,1,,0,0
ST-I-LGK-FRI2,BKNFH,Yze Cpbftcpo,B,G,YMP,WX,1,1,,0,0
UQ-I-VFX-RTI5,BKNFG,Yze Cpbftcpo,B,Q,PAY,YU,2,2,,0,0
UP-I-HIV-FRI3,BKNQH,Yze Cpbftcpo,B,C,YMP,YT,1,1,,0,0
YP-I-VHV-RTI2,BKNFF,Yze Cpbftcpo,B,Q,PAY,CT,2,1,,1,0
GF-I-TFH-FRI3,BKNRG,Yze Cpbftcpo,B,O,YMP,KJ,1,1,,0,0
KW-I-UYX-RTI1,BKNFI,Yze Cpbftcpo,B,P,PAY,OA,2,2,,0,0
FZ-I-UFN-RTI1,BKNFG,Yze Cpbftcpo,A,P,PAY,JD,4,1,,0,0
UY-I-VFA-FRI3,BKNFI,Hltgpo,B,Q,YMP,YC,51,7,,0,0
YB-I-RFK-RTI1,BKNDH,Yze Cpbftcpo,A,M,PAY,CF,1,1,,1,0
OF-I-TIF-RTI3,BKNDH,Yze Cpbftcpo,B,O,PAY,SJ,2,1,,0,0
PX-I-VKH-RTI2,BKNDF,Yze Cpbftcpo,A,Q,PAY,TB,1,1,,0,0
XS-I-UFV-RTI1,BKNDG,Yze Cpbftcpo,B,P,PAY,BW,2,1,,0,0
JE-I-DFI-RTI1,BKNFH,Yze Cpbftcpo,B,Y,PAY,NI,7,3,,1,0
QJ-I-XFM-FRI6,BKNQG,Spwo,B,S,YMP,UN,8,4,,0,0
QL-I-VFI-RTI1,BKNFH,Yze Cpbftcpo,B,Q,PAY,UP,2,1,,0,0
GF-I-VFY-RTI4,BKNRG,Yze Cpbftcpo,B,Q,PAY,KJ,27,4,,0,0
UP-I-PHX-FRI3,BKNQH,Yze Cpbftcpo,A,K,YMP,YT,1,1,,1,0
XB-I-TFL-RTI2,BKNFH,Yze Cpbftcpo,B,O,PAY,BF,1,1,,0,0
PX-I-RFC-FRI1,BKNDF,Yze Cpbftcpo,A,M,YMP,TB,2,1,,0,1
WT-I-HFF-QTF,BKNFG,Yze Cpbftcpo,B,C,AXM,AX,1,1,,0,0
PX-I-RFS-RTI1,BKNDF,Yze Cpbftcpo,A,M,PAY,TB,1,1,,0,0
LD-I-VGQ-RTI1,BKNFI,Yze Cpbftcpo,B,Q,PAY,PH,9,1,,0,0
PX-I-TFA-RTI1,BKNDF,Yze Cpbftcpo,B,O,PAY,TB,2,1,,0,0
PX-I-LIW-RTI1,BKNDF,Yze Cpbftcpo,B,G,PAY,TB,3,1,,0,0
OF-I-UHP-RTI1,BKNDH,Yze Cpbftcpo,B,P,PAY,SJ,2,2,,0,0
SJ-I-VFD-RTI1,BKNFI,Yze Cpbftcpo,B,Q,PAY,WN,3,1,,0,0
VR-I-LGF-QTF,BKNRF,Yze Cpbftcpo,D,G,AXM,RZ,1,1,,0,0
FY-I-LHR-RTI1,BKNDG,Yze Cpbftcpo,B,G,PAY,JC,1,1,,0,0
XB-I-LFK-FRI1,BKNFH,Yze Cpbftcpo,B,G,YMP,BF,3,1,,0,0
FY-I-TFY-RTI2,BKNDG,Yze Cpbftcpo,B,O,PAY,JC,1,1,,0,1
GW-I-VFX-FRI1,BKNDF,Hltgpo,B,Q,YMP,KA,1,1,,0,0
PZ-I-PGH-RTI2,BKNRG,Yze Cpbftcpo,A,K,PAY,TD,2,1,,0,0
OF-I-VJJ-FRI3,BKNDH,Hltgpo,B,Q,YMP,SJ,1,0,,0,0
NX-I-PJJ-FRI2,BKNQH,Yze Cpbftcpo,A,K,YMP,RB,1,1,,0,0
NX-I-VKV-RTI1,BKNQH,Yze Cpbftcpo,B,Q,PAY,RB,1,1,,0,0
UN-I-RFH-RTI1,BKNDG,Yze Cpbftcpo,A,M,PAY,YR,1,1,,0,0
FY-I-PJW-RTI1,BKNDG,Yze Cpbftcpo,A,K,PAY,JC,2,1,,0,0
JL-I-RFF-RTI3,BKNQF,Yze Cpbftcpo,A,M,PAY,NP,2,1,,0,0
LD-I-III-RTI1,BKNFI,Yze Cpbftcpo,B,D,PAY,PH,1,1,,0,0
SU-I-XFF-RTI3,BKNDG,Yze Cpbftcpo,B,S,PAY,WY,15,2,,0,1
SJ-I-PJE-RTI1,BKNFI,Yze Cpbftcpo,A,K,PAY,WN,2,1,,0,0
YM-I-LGR-FRI3,BKNDG,Yze Cpbftcpo,B,G,YMP,CQ,10,2,,1,0
JL-I-JFL-RTI1,BKNQF,Yze Cpbftcpo,A,E,PAY,NP,2,1,,0,0
PX-I-VJU-RTI1,BKNDF,Yze Cpbftcpo,A,Q,PAY,TB,5,0,,1,1
OT-I-VGR-RTI2,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,6,2,,1,0
NS-I-VFK-RTI2,BKNDG,Yze Cpbftcpo,B,Q,PAY,RW,7,1,,0,0
HN-I-VFS-RTI1,BKNDF,Yze Cpbftcpo,B,Q,PAY,LR,1,1,,0,0
GW-I-RJR-RTI4,BKNDF,Yze Cpbftcpo,B,M,PAY,KA,2,1,,0,0
OT-I-RGH-RTI1,BKNQG,Yze Cpbftcpo,A,M,PAY,SX,2,1,,0,0
FY-I-VFO-RTI3,BKNDG,Yze Cpbftcpo,B,Q,PAY,JC,7,2,,0,0
YM-I-RJD-RTI1,BKNDG,Yze Cpbftcpo,A,M,PAY,CQ,3,1,,0,0
RZ-I-TFF-RTI2,BKNQF,Yze Cpbftcpo,B,O,PAY,VD,1,1,,0,0
JL-I-XFG-RTI6,BKNQF,Yze Cpbftcpo,B,S,PAY,NP,10,4,,0,0
YP-I-XRG-RTI3,BKNFF,Yze Cpbftcpo,B,S,PAY,CT,5,2,,1,0
LW-I-VFQ-RTI2,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,2,1,,0,0
YP-I-JGM-QTF,BKNFF,Yze Cpbftcpo,A,E,AXM,CT,1,1,,1,0
JL-I-VGT-RTI1,BKNQF,Yze Cpbftcpo,B,Q,PAY,NP,3,1,,0,0
IJ-I-VGF-RTI7,BKNFH,Yze Cpbftcpo,B,Q,PAY,MN,11,1,,0,0
YP-I-RGU-RTI1,BKNFF,Yze Cpbftcpo,B,M,PAY,CT,6,2,,0,0
YM-I-WGT-FRI5,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,,0,0
NX-I-LHU-RTI1,BKNQH,Yze Cpbftcpo,B,G,PAY,RB,10,1,,1,0
FW-I-VFZ-RTI3,BKNDF,Yze Cpbftcpo,B,Q,PAY,JA,2,1,,0,0
YM-I-HFW-RTI1,BKNDG,Yze Cpbftcpo,A,C,PAY,CQ,1,1,,1,0
LD-I-UFI-RTI1,BKNFI,Yze Cpbftcpo,B,P,PAY,PH,5,2,,1,0
LG-I-VFF-RTI3,BKNQG,Yze Cpbftcpo,B,Q,PAY,PK,1,1,,0,0
NY-I-VFC-RTI1,BKNFI,Hltgpo,B,Q,PAY,RC,2,1,,0,0
PX-I-VMG-RTI1,BKNDF,Yze Cpbftcpo,B,Q,PAY,TB,1,1,,0,0
YM-I-WGT-FRI3,BKNDG,Yze Cpbftcpo,A,R,YMP,CQ,1,1,,0,0
OT-I-VHP-RTI2,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,3,1,,0,0
UP-I-PHY-FRI3,BKNQH,Yze Cpbftcpo,A,K,YMP,YT,1,1,,0,0
LW-I-XSD-RTI12,BKNFF,Yze Cpbftcpo,B,S,PAY,PA,6,6,,0,0
GF-I-FFU-RTI3,BKNRG,Yze Cpbftcpo,B,A,PAY,KJ,1,1,,0,0
LW-I-LFV-RTI1,BKNFF,Yze Cpbftcpo,B,G,PAY,PA,2,1,,0,0
NV-I-VGY-RTI2,BKNRF,Yze Cpbftcpo,B,Q,PAY,RZ,2,2,,0,0
YM-I-VFU-FRI4,BKNDG,Hltgpo,B,Q,YMP,CQ,8,1,,0,0
P7-I-PJS-RTI4,BKNFF,Yze Cpbftcpo,A,K,PAY,T7,1,1,,0,1
OF-I-VKI-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,SJ,1,1,,0,0
7J-I-JHF-RTI1,BKRQG,Yze Cpbftcpo,D,E,PAY,MS,1,1,,0,0
FY-I-DFP-RTI1,BKNDG,Yze Cpbftcpo,B,Y,PAY,JC,2,1,,0,1
JC-I-XFF-QTF,BKNQF,Spwo,D,S,AXM,JO,1,1,,1,0
NY-I-IFZ-RTI2,BKNFI,Yze Cpbftcpo,B,D,PAY,RC,1,1,,0,0
PX-I-DGG-RTI1,BKNDF,Yze Cpbftcpo,B,Y,PAY,TB,7,2,,0,0
LW-I-XGI-RTI11,BKNFF,Yze Cpbftcpo,B,S,PAY,PA,18,2,,0,1
P7-I-WGX-RTI3,BKNFF,Yze Cpbftcpo,A,R,PAY,T7,1,1,,0,0
YM-I-UFF-FRI13,BKNDG,Yze Cpbftcpo,B,P,YMP,CQ,1,1,,0,0
XU-I-DIM-RTI3,BKNFI,Yze Cpbftcpo,B,Y,PAY,BY,2,0,,0,0
OF-I-VJP-FRI2,BKNDH,Hltgpo,B,Q,YMP,SJ,1,1,,0,0
FW-I-VFA-RTI2,BKNDF,Yze Cpbftcpo,B,Q,PAY,JA,2,1,,0,0
ST-I-PJT-RTI1,BKNFH,Yze Cpbftcpo,A,K,PAY,WX,1,1,,0,0
HX-I-XFI-RTI2,BKNDF,Yze Cpbftcpo,B,S,PAY,LB,2,1,,0,0
ZP-I-IHY-FRI1,BKNFI,Hltgpo,B,D,YMP,DT,3,1,,0,0
P8-I-VFM-FRI4,BKNFF,Hltgpo,B,Q,YMP,T8,5,1,,0,0
A3-I-VFJ-RTI3,BKNQF,Yze Cpbftcpo,D,Q,PAY,JO,1,1,,0,0
LW-I-VGX-RTI4,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,8,3,,1,0
OF-I-XGH-RTI3,BKNDH,Yze Cpbftcpo,B,S,PAY,SJ,4,1,,0,1
LW-I-VFM-RTI1,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,5,2,,1,0
VF-I-VFG-RTI10,BKNRF,Yze Cpbftcpo,B,Q,PAY,ZJ,3,1,,0,0
7M-I-VFH-RTI2,BKNQF,Yze Cpbftcpo,D,Q,PAY,JO,1,1,,0,0
NX-I-LJG-FRI4,BKNQH,Yze Cpbftcpo,B,G,YMP,RB,1,1,,0,0
NX-I-JGT-FRI2,BKNQH,Yze Cpbftcpo,A,E,YMP,RB,1,1,,0,0
YB-I-WFP-RTI1,BKNDH,Yze Cpbftcpo,A,R,PAY,CF,1,1,,1,0
XW-I-VIO-RTI1,BKNRG,Yze Cpbftcpo,B,Q,PAY,BA,1,1,,0,0
YB-I-RGN-RTI1,BKNDH,Yze Cpbftcpo,B,M,PAY,CF,1,1,,0,0
OF-I-WHN-QTF,BKNDH,Yze Cpbftcpo,A,R,AXM,SJ,1,1,,0,0
JL-I-LFT-FRI10,BKNQF,Yze Cpbftcpo,B,G,YMP,NP,4,3,,0,0
PJ-I-VFH-RTI5,BKNQG,Yze Cpbftcpo,B,Q,PAY,TN,2,2,,0,0
OT-I-LFK-RTI2,BKNQG,Yze Cpbftcpo,B,G,PAY,SX,1,1,,0,0
HS-I-VIJ-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,LW,2,1,,0,0
XS-I-VFY-RTI1,BKNDG,Yze Cpbftcpo,B,Q,PAY,BW,11,2,,0,0
JL-I-VGB-FRI4,BKNQF,Spwo,B,Q,YMP,NP,8,1,,0,0
NS-I-XFJ-RTI3,BKNDG,Yze Cpbftcpo,B,S,PAY,RW,4,2,,0,0
HN-I-UFH-FRI13,BKNDF,Yze Cpbftcpo,B,P,YMP,LR,6,2,,0,0
GF-I-TFH-FRI2,BKNRG,Yze Cpbftcpo,B,O,YMP,KJ,4,1,,0,0
LW-I-VFP-RTI1,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,1,1,,0,0
JU-I-QFF-RTI2,BKNFG,Yze Cpbftcpo,D,L,PAY,AK,1,1,,0,0
UN-I-UFN-RTI1,BKNDG,Yze Cpbftcpo,B,P,PAY,YR,5,2,,0,0
HN-I-VFR-RTI2,BKNDF,Yze Cpbftcpo,B,Q,PAY,LR,3,1,,0,0
LD-I-VCE-FRI7,BKNFI,Hltgpo,B,Q,YMP,PH,5,1,,0,0
NX-I-LIR-RTI2,BKNQH,Yze Cpbftcpo,B,G,PAY,RB,6,3,,0,0
KW-I-XFK-RTI1,BKNFI,Yze Cpbftcpo,B,S,PAY,OA,1,1,,0,0
YP-I-JFZ-RTI2,BKNFF,Yze Cpbftcpo,B,E,PAY,CT,1,1,,0,0
ZP-I-VIJ-RTI2,BKNFI,Yze Cpbftcpo,B,Q,PAY,DT,1,1,,1,0
SJ-I-SEB-RTI2,BKNFI,Yze Cpbftcpo,B,N,PAY,WN,2,1,,0,0
OF-I-VKJ-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,SJ,2,1,,0,0
OT-I-HFU-RTI2,BKNQG,Yze Cpbftcpo,A,C,PAY,SX,1,1,,1,0
P7-I-PJU-FRI3,BKNFF,Yze Cpbftcpo,A,K,YMP,T7,1,1,,0,0
SU-I-XFH-RTI3,BKNDG,Yze Cpbftcpo,B,S,PAY,WY,2,1,,0,0
YP-I-JGN-RTI1,BKNFF,Yze Cpbftcpo,B,E,PAY,CT,1,1,,0,0
JR-I-LFJ-QTF,BKNQF,Yze Cpbftcpo,D,G,AXM,JO,2,1,,0,0
HN-I-VFR-FRI4,BKNDF,Hltgpo,B,Q,YMP,LR,3,2,,0,0
NI-I-DFH-RTI4,BKNDG,Yze Cpbftcpo,B,Y,PAY,RM,3,2,,0,0
OT-I-VGV-RTI2,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,2,1,,0,0
NX-I-WGW-RTI1,BKNQH,Yze Cpbftcpo,A,R,PAY,RB,2,1,,0,0
QJ-I-XFM-RTI5,BKNQG,Yze Cpbftcpo,B,S,PAY,UN,3,1,,0,0
OT-I-VFT-RTI3,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,4,2,,0,0
YP-I-LIV-FRI1,BKNFF,Yze Cpbftcpo,B,G,YMP,CT,2,1,,0,0
SA-I-VFG-FRI1,BKNFH,Hltgpo,D,Q,YMP,UQ,2,1,,0,0
SE-I-VFK-RTI3,BKNDG,Yze Cpbftcpo,B,Q,PAY,WI,2,1,,0,0
YM-I-UFF-FRI11,BKNDG,Yze Cpbftcpo,B,P,YMP,CQ,2,1,,0,1
JL-I-XFG-RTI5,BKNQF,Yze Cpbftcpo,B,S,PAY,NP,9,3,,1,0
UY-I-PGA-QTF,BKNFI,Yze Cpbftcpo,A,K,AXM,YC,1,1,,0,0
ZP-I-FFF-FRI3,BKNFI,Yze Cpbftcpo,B,A,YMP,DT,3,1,,1,0
PZ-I-VFJ-RTI2,BKNRG,Yze Cpbftcpo,B,Q,PAY,TD,2,1,,0,0
LD-I-LHT-RTI1,BKNFI,Yze Cpbftcpo,B,G,PAY,PH,1,1,,0,0
OT-I-VFD-RTI3,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,4,2,,0,0
YM-I-PJK-FRI1,BKNDG,Yze Cpbftcpo,A,K,YMP,CQ,1,1,,0,0
NX-I-IFR-RTI1,BKNQH,Yze Cpbftcpo,B,D,PAY,RB,5,1,,0,0
NV-I-VFC-FRI9,BKNRF,Spwo,C,Q,YMP,RZ,13,4,,0,1
FY-I-VIG-RTI2,BKNDG,Yze Cpbftcpo,B,Q,PAY,JC,1,1,,0,0
RC-I-VFQ-FRI2,BKNDH,Hltgpo,B,Q,YMP,VG,1,1,,1,0
PX-I-VLC-FRI3,BKNDF,Hltgpo,B,Q,YMP,TB,2,1,,1,0
VF-I-XFG-RTI2,BKNRF,Yze Cpbftcpo,B,S,PAY,ZJ,1,1,,0,0
XS-I-DFI-RTI4,BKNDG,Yze Cpbftcpo,B,Y,PAY,BW,6,2,,0,0
ZF-I-RFG-RTI3,BKNQG,Yze Cpbftcpo,A,M,PAY,DJ,2,1,,0,0
HN-I-VFF-RTI4,BKNDF,Yze Cpbftcpo,B,Q,PAY,LR,12,2,,1,0
ST-I-JFJ-RTI3,BKNFH,Yze Cpbftcpo,B,E,PAY,WX,1,1,,1,0
QM-I-DFF-RTI1,BKNFH,Yze Cpbftcpo,B,Y,PAY,UQ,1,1,,1,0
JX-I-JFW-RTI4,BKNDF,Yze Cpbftcpo,A,E,PAY,NB,3,1,,0,0
JL-I-RFH-RTI4,BKNQF,Yze Cpbftcpo,A,M,PAY,NP,3,1,,0,0
YP-I-RGT-RTI1,BKNFF,Yze Cpbftcpo,B,M,PAY,CT,1,1,,0,0
FW-I-JFH-RTI1,BKNDF,Yze Cpbftcpo,A,E,PAY,JA,1,1,,0,0
U8-I-WFG-RTI1,BKNQG,Yze Cpbftcpo,D,R,PAY,AV,4,1,,0,0
GJ-I-VGJ-FRI8,BKNFI,Spwo,B,Q,YMP,KN,2,1,,0,0
RK-I-LFS-RTI2,BKNDG,Yze Cpbftcpo,B,G,PAY,VO,2,1,,0,1
P7-I-LJA-RTI4,BKNFF,Yze Cpbftcpo,B,G,PAY,T7,3,1,,0,0
IJ-I-IFS-RTI2,BKNFH,Yze Cpbftcpo,B,D,PAY,MN,2,1,,0,0
P7-I-VGL-RTI1,BKNFF,Yze Cpbftcpo,A,Q,PAY,T7,1,1,,0,0
XW-I-JFY-RTI1,BKNRG,Yze Cpbftcpo,A,E,PAY,BA,1,1,,0,0
FY-I-FFR-FRI2,BKNDG,Yze Cpbftcpo,B,A,YMP,JC,5,1,,0,0
FY-I-LFP-FRI5,BKNDG,Yze Cpbftcpo,B,G,YMP,JC,7,1,,0,0
YM-I-HGY-FRI1,BKNDG,Yze Cpbftcpo,B,C,YMP,CQ,1,1,,0,0
P7-I-JFE-RTI1,BKNFF,Yze Cpbftcpo,A,E,PAY,T7,1,1,,0,0
P7-I-WGZ-RTI1,BKNFF,Yze Cpbftcpo,A,R,PAY,T7,1,1,,0,0
YM-I-PJH-FRI2,BKNDG,Yze Cpbftcpo,A,K,YMP,CQ,1,1,,0,0
YB-I-RGM-RTI2,BKNDH,Yze Cpbftcpo,A,M,PAY,CF,2,1,,0,0
UQ-I-VGL-FRI1,BKNFG,Spwo,B,Q,YMP,YU,5,1,,0,0
PX-I-RNF-RTI1,BKNDF,Yze Cpbftcpo,A,M,PAY,TB,3,1,,0,0
FW-I-XFN-RTI7,BKNDF,Yze Cpbftcpo,B,S,PAY,JA,2,1,,0,0
HT-I-LFN-FRI2,BKNDF,Yze Cpbftcpo,B,G,YMP,LX,4,1,,0,0
JS-I-IFM-RTI3,BKNFH,Yze Cpbftcpo,B,D,PAY,NW,2,1,,1,0
GW-I-LFN-RTI1,BKNDF,Yze Cpbftcpo,B,G,PAY,KA,12,2,,0,0
XU-I-TFN-RTI1,BKNFI,Yze Cpbftcpo,B,O,PAY,BY,1,1,,1,0
XB-I-TFL-RTI1,BKNFH,Yze Cpbftcpo,B,O,PAY,BF,1,1,,0,0
GW-I-VFH-RTI3,BKNDF,Yze Cpbftcpo,B,Q,PAY,KA,1,1,,0,0
KW-I-XFI-RTI4,BKNFI,Yze Cpbftcpo,B,S,PAY,OA,3,3,,0,0
SJ-I-VGU-FRI1,BKNFI,Spwo,B,Q,YMP,WN,9,1,,0,0
OF-I-VJY-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,SJ,4,1,,0,0
FY-I-FFR-FRI3,BKNDG,Yze Cpbftcpo,B,A,YMP,JC,1,1,,1,0
IB-I-JSG-FRI1,BKNQG,Yze Cpbftcpo,D,E,YMP,WR,3,1,,0,0
YB-I-FGN-RTI3,BKNDH,Yze Cpbftcpo,B,A,PAY,CF,2,1,,0,0
O2-I-WFH-RTI1,BKNQH,Yze Cpbftcpo,D,R,PAY,YT,1,1,,0,0
YZ-I-WSJ-FRI22,BKNQG,Yze Cpbftcpo,A,R,YMP,CD,1,1,,0,0
PX-I-DFY-FRI2,BKNDF,Spwo,B,Y,YMP,TB,4,1,,0,0
NX-I-VJL-RTI5,BKNQH,Yze Cpbftcpo,B,Q,PAY,RB,1,1,,0,0
ZL-I-WFG-RTI1,BKNQG,Yze Cpbftcpo,B,R,PAY,DP,1,1,,0,0
OF-I-RFT-RTI1,BKNDH,Yze Cpbftcpo,B,M,PAY,SJ,2,1,,0,0
JL-I-PJR-RTI1,BKNQF,Yze Cpbftcpo,A,K,PAY,NP,1,1,,0,1
JL-I-PJM-FRI9,BKNQF,Yze Cpbftcpo,A,K,YMP,NP,2,1,,1,1
IB-I-VFR-RTI1,BKNQG,Yze Cpbftcpo,D,Q,PAY,UN,1,1,,0,0
OF-I-VJF-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,SJ,3,0,,1,0
HS-I-LHN-QTF,BKNDH,Yze Cpbftcpo,B,G,AXM,LW,2,1,,0,0
LY-I-XFH-RTI1,BKNDF,Yze Cpbftcpo,B,S,PAY,PC,6,2,,1,0
YM-I-RFM-RTI1,BKNDG,Yze Cpbftcpo,A,M,PAY,CQ,1,1,,0,0
GF-I-FFS-RTI1,BKNRG,Yze Cpbftcpo,B,A,PAY,KJ,3,1,,0,0
LD-I-DFM-RTI1,BKNFI,Yze Cpbftcpo,B,Y,PAY,PH,1,1,,0,0
RT-I-XFM-RTI3,BKNQG,Yze Cpbftcpo,B,S,PAY,VX,2,2,,1,0
P7-I-TGN-RTI1,BKNFF,Yze Cpbftcpo,B,O,PAY,T7,1,1,,0,0
NX-I-IHN-QTF,BKNQH,Hltgpo,B,D,AXM,RB,2,1,,1,0
LW-I-VGX-RTI3,BKNFF,Yze Cpbftcpo,B,Q,PAY,PA,2,2,,0,0
RZ-I-DFP-FRI7,BKNQF,Yze Spwo zc Hltgpo mfe Cpbftcpo,B,Y,YMP,VD,2,1,,0,0
YB-I-RFG-RTI1,BKNDH,Yze Cpbftcpo,A,M,PAY,CF,1,1,,1,0
LD-I-IKL-RTI1,BKNFI,Yze Cpbftcpo,B,D,PAY,PH,1,1,,0,0
NX-I-WJM-QTF,BKNQH,Yze Cpbftcpo,A,R,AXM,RB,1,1,,0,1
FW-I-JFF-RTI2,BKNDF,Yze Cpbftcpo,A,E,PAY,JA,1,1,,0,0
GJ-I-VGH-RTI3,BKNFI,Yze Cpbftcpo,B,Q,PAY,KN,2,1,,0,0
GF-I-VIG-RTI1,BKNRG,Yze Cpbftcpo,B,Q,PAY,KJ,3,1,,0,0
MZ-I-DFI-RTI2,BKNFG,Yze Cpbftcpo,B,Y,PAY,QD,1,1,,0,0
X3-I-IFI-RTI2,BKNFG,Yze Cpbftcpo,B,D,PAY,B3,3,2,,0,0
U9-I-UFF-RTI1,BKNQG,Yze Cpbftcpo,D,P,PAY,VA,1,1,,1,0
PZ-I-DFH-RTI5,BKNRG,Yze Cpbftcpo,B,Y,PAY,TD,10,1,,0,0
JS-I-IFM-RTI2,BKNFH,Yze Cpbftcpo,B,D,PAY,NW,2,1,,0,0
U9-I-RGG-RTI1,BKNQG,Yze Cpbftcpo,D,M,PAY,WT,1,1,,1,0
JL-I-VFS-RTI4,BKNQF,Yze Cpbftcpo,B,Q,PAY,NP,9,1,,0,0
SJ-I-DFJ-RTI2,BKNFI,Yze Cpbftcpo,B,Y,PAY,WN,1,1,,0,0
PX-I-THG-RTI1,BKNDF,Yze Cpbftcpo,B,O,PAY,TB,2,1,,0,0
F2-I-IFF-RTI2,BKNFF,Yze Cpbftcpo,B,D,PAY,J2,1,1,,0,1
YB-I-XFV-RTI1,BKNDH,Yze Cpbftcpo,B,S,PAY,CF,3,1,,1,0
IJ-I-JFN-QTF,BKNFH,Yze Cpbftcpo,B,E,AXM,MN,1,1,,0,0
YM-I-PJL-FRI2,BKNDG,Yze Cpbftcpo,A,K,YMP,CQ,1,1,,1,0
KW-I-TFO-FRI1,BKNFI,Yze Cpbftcpo,B,O,YMP,OA,2,2,,0,1
GJ-I-VGK-RTI2,BKNFI,Yze Cpbftcpo,B,Q,PAY,KN,1,1,,0,0
FZ-I-VFP-RTI2,BKNFG,Yze Cpbftcpo,B,Q,PAY,JD,1,1,,0,0
IJ-I-TFM-RTI1,BKNFH,Yze Cpbftcpo,B,O,PAY,MN,2,1,,0,0
GF-I-VHE-RTI1,BKNRG,Yze Cpbftcpo,B,Q,PAY,KJ,4,2,,0,0
JL-I-VGY-RTI1,BKNQF,Yze Cpbftcpo,B,Q,PAY,NP,5,2,,1,0
JL-I-VKU-RTI1,BKNQF,Yze Cpbftcpo,B,Q,PAY,NP,3,1,,0,0
ZG-I-JFF-QTF,BKRQG,Yze Cpbftcpo,D,E,AXM,IJ,2,1,,0,1
VF-I-IFQ-RTI1,BKNRF,Yze Cpbftcpo,B,D,PAY,ZJ,1,1,,0,0
NX-I-FHF-RTI1,BKNQH,Yze Cpbftcpo,B,A,PAY,RB,2,1,,0,0
PX-I-WFD-FRI3,BKNDF,Yze Cpbftcpo,A,R,YMP,TB,1,1,,0,0
HS-I-VIG-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,LW,2,2,,0,0
YP-I-VHV-RTI3,BKNFF,Yze Cpbftcpo,B,Q,PAY,CT,2,1,,0,0
RT-I-UIU-RTI1,BKNQG,Yze Cpbftcpo,B,P,PAY,VX,3,2,,0,0
