Predictor1,Predictor2,Predictor3,Predictor4,Predictor5,Predictor6,Predictor7,Predictor8,Predictor9,Predictor10,Target1,Target2
OF-I-XFO-RTI4,BKNDH,Yze Cpbftcpo,B,S,PAY,SJ,2,1,1,1,0
PX-I-VKZ-RTI2,BKNDF,Yze Cpbftcpo,B,Q,PAY,TB,3,2,2,0,0
ST-I-DFN-QTF,BKNFH,Spwo,C,Y,AXM,WX,18,2,5,1,0
ZP-I-LJX-QTF,BKNFI,Spwo,B,G,AXM,DT,2,1,6,1,0
XS-I-UFB-FRI1,BKNDG,Yze Cpbftcpo,B,P,YMP,BW,1,1,2,0,1
KN-I-DFN-FRI4,BKNFH,Spwo,C,Y,YMP,OR,47,5,6,1,0
PX-I-RHX-FRI4,BKNDF,Yze Cpbftcpo,B,M,YMP,TB,1,1,1,0,0
NV-I-LGI-QTF,BKNRF,Spwo,C,G,AXM,RZ,1,1,3,0,0
UN-I-XFI-RTI1,BKNDG,Yze Cpbftcpo,B,S,PAY,YR,9,1,1,0,0
LD-I-DFM-FRI1,BKNFI,Hltgpo,B,Y,YMP,PH,6,2,1,0,0
HS-I-VIK-FRI1,BKNDH,Spwo,B,Q,YMP,LW,3,2,1,1,0
XW-I-XFV-FRI5,BKNRG,Spwo,B,S,YMP,BA,24,6,3,1,0
JL-I-RFO-FRI2,BKNQF,Yze Cpbftcpo,A,M,YMP,NP,4,1,2,0,0
LW-I-PND-QTF,BKNFF,Yze Cpbftcpo,A,K,AXM,PA,1,1,3,1,0
IB-I-VSF-QTF,BKNQG,Spwo,D,Q,AXM,WR,2,1,3,0,0
SE-I-IFX-FRI2,BKNDG,Spwo,C,D,YMP,WI,1,1,3,0,0
XS-I-VFB-RTI4,BKNDG,Yze Cpbftcpo,B,Q,PAY,BW,5,2,4,0,0
OT-I-RGP-FRI4,BKNQG,Yze Cpbftcpo,B,M,YMP,SX,3,2,2,1,0
YP-I-VHK-FRI6,BKNFF,Hltgpo,B,Q,YMP,CT,1,1,1,0,0
IJ-I-LYY-FRI8,BKNFH,Yze Cpbftcpo,B,G,YMP,MN,10,2,3,0,1
FW-I-JFG-FRI4,BKNDF,Yze Cpbftcpo,A,E,YMP,JA,3,1,2,1,0
PX-I-VLI-FRI3,BKNDF,Spwo,B,Q,YMP,TB,28,7,7,1,0
OT-I-VFU-RTI4,BKNQG,Yze Cpbftcpo,B,Q,PAY,SX,3,0,1,0,0
PX-I-DFZ-QTF,BKNDF,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,AXM,TB,3,1,3,1,0
B4-I-TFF-FRI4,BKNFF,Yze Cpbftcpo,C,O,YMP,F4,1,1,2,0,1
OF-I-VJP-FRI1,BKNDH,Hltgpo,B,Q,YMP,SJ,1,1,1,0,0
UY-I-VFQ-FRI6,BKNFI,Spwo,B,Q,YMP,YC,11,3,2,1,0
VF-I-VFG-RTI7,BKNRF,Yze Cpbftcpo,B,Q,PAY,ZJ,2,2,1,0,1
VG-I-VFH-RTI2,BKNQF,Yze Cpbftcpo,D,Q,PAY,JO,4,2,1,0,0
PF-I-VFH-FRI2,BKNFG,Hltgpo,D,Q,YMP,DY,2,1,2,0,0
NX-I-FGB-QTF,BKNQH,Yze Cpbftcpo,B,A,AXM,RB,8,1,4,0,1
ZP-I-LJV-QTF,BKNFI,Yze Cpbftcpo,B,G,AXM,DT,3,1,5,0,0
FJ-I-VFO-FRI2,BKNRG,Spwo,C,Q,YMP,JN,2,2,5,0,0
PX-I-LPX-QTF,BKNDF,Yze Cpbftcpo,C,G,AXM,TB,3,1,2,1,0
LD-I-VGM-RTI2,BKNFI,Yze Cpbftcpo,B,Q,PAY,PH,4,1,1,0,0
FJ-I-VFH-FRI9,BKNRG,Spwo,B,Q,YMP,JN,12,4,4,0,0
NV-I-LGK-QTF,BKNRF,Yze Cpbftcpo,B,G,AXM,RZ,1,1,4,0,0
SE-I-XFG-FRI2,BKNDG,Spwo,C,S,YMP,WI,34,6,9,0,0
YB-I-RGM-QTF,BKNDH,Yze Cpbftcpo,A,M,AXM,CF,2,1,4,0,0
NX-I-DFI-QTF,BKNQH,Spwo,C,Y,AXM,RB,5,1,7,0,0
S4-I-DFF-FRI4,BKNFF,Yze Spwo zc Hltgpo mfe Cpbftcpo,C,Y,YMP,W4,26,2,12,0,1
OT-I-WGH-FRI6,BKNQG,Yze Cpbftcpo,A,R,YMP,SX,2,1,1,0,0
RC-I-LFK-FRI2,BKNDH,Yze Cpbftcpo,B,G,YMP,VG,12,1,2,0,0
IG-I-VFG-FRI1,BKNDG,Yze Spwo zc Hltgpo mfe Cpbftcpo,D,Q,YMP,RM,1,1,2,1,0
YM-I-KFG-QTF,BKNDG,Spwo,C,F,AXM,CQ,12,3,4,0,1
NX-I-IFC-FRI3,BKNQH,Hltgpo,B,D,YMP,RB,4,1,3,1,0
XE-I-DGH-FRI5,BKNFI,Spwo,B,Y,YMP,BI,3,1,1,0,0
PX-I-XFI-FRI6,BKNDF,Spwo,B,S,YMP,TB,7,2,4,0,0
SJ-I-VFU-FRI3,BKNFI,Spwo,C,Q,YMP,WN,18,4,3,0,0
IJ-I-VFP-FRI6,BKNFH,Spwo,C,Q,YMP,MN,41,4,7,1,0
SA-I-VFK-FRI2,BKNDG,Spwo,D,Q,YMP,RM,2,1,3,1,1
FY-I-FFZ-QTF,BKNDG,Yze Cpbftcpo,B,A,AXM,JC,3,1,2,1,0
UP-I-XFK-FRI13,BKNQH,Spwo,C,S,YMP,YT,41,4,4,1,0
YB-I-VFP-RTI1,BKNDH,Yze Cpbftcpo,B,Q,PAY,CF,2,1,1,1,0
HS-I-LEB-RTI1,BKNDH,Yze Cpbftcpo,B,G,PAY,LW,4,1,1,1,0
GJ-I-IFM-FRI4,BKNFI,Hltgpo,C,D,YMP,KN,2,2,3,0,1
ST-I-TFR-QTF,BKNFH,Spwo,C,O,AXM,WX,2,1,3,0,1
NX-I-AFF-QTF,BKNQH,Hltgpo,C,V,AXM,RB,1,1,4,0,0
SB-I-DFF-QTF,BKNFG,Spwo,D,Y,AXM,DY,13,1,4,0,1
OT-I-VHH-FRI4,BKNQG,Spwo,B,Q,YMP,SX,2,1,3,0,0
